"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"ERA24LA100","ACC","193714","2024-01-28T17:23:00Z","Orlando","Florida","United States",,"N103JT","42000163","false","Aviation","",,,"None","0","0","0","0","0",,,,"28.423541","-81.327267000000006","HONDA AIRCRAFT CO LLC","HA-420","AIR","MCO","Orlando International Airport","false","2",,"NSCH",,"135","Substantial","VMC","GC Aviation","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193714/pdf"
"ERA24LA098","ACC","193709","2024-01-25T15:15:00Z","Zephyrhills","Florida","United States",,"N1202Z","3615","false","Aviation","DirectorBrief","2024-10-31T04:00:00Z","2024-10-31T18:00:00Z","Serious","0","1","0","1","0","The glider pilot’s failure to release from the towline after the tow plane experienced a loss of engine power.","Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Aircraft - Aircraft systems - Equipment/furnishings - (general) - Not used/operated",,"28","-82","BURKHART GROB FLUGZEUGBAU","G103 TWIN ASTIR","GLI","ZPH","ZEPHYRHILLS MUNI","false","0",,,"GLDT","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193709","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193709/pdf"
"ERA24FA096","ACC","193703","2024-01-23T19:44:00Z","Weston","Florida","United States",,"N737VC","17269700","false","Aviation","DirectorBrief","2026-03-12T04:00:00Z","2026-03-12T17:00:00Z","Fatal","2","0","0","2","0","The pilots’ spatial disorientation in dark night visual meteorological conditions, which resulted in their failure to maintain altitude and a subsequent descent and impact with a swamp.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Not attained/maintained, Personnel issues - Psychological - Perception/orientation/illusion - Spatial disorientation - Pilot, Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Effect on personnel, Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew, Personnel issues - Psychological - Perception/orientation/illusion - Spatial disorientation - Flight crew",,"26.149583","-80.509902999999994","CESSNA","172","AIR",,,"false","1","REC",,"PERS","091","Substantial","VMC","FLORIDA GENERAL AVIATION","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193703","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193703/pdf"
"ERA24LA092","ACC","193688","2024-01-20T16:43:00Z","New Smyrna Beach","Florida","United States",,"N321EP","172S12622","false","Aviation","DirectorBrief","2024-04-04T04:00:00Z","2024-04-04T17:00:00Z","None","0","0","0","0","0","A failure of the right brake during taxi, which resulted in a taxiway excursion and collision with a tree.","Aircraft - Aircraft systems - Landing gear system - Brake - Failure, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Effect on equipment",,"29.049144999999999","-80.948108000000005","TEXTRON AVIATION INC","172","AIR","EVB","NEW SMYRNA BEACH MUNI","false","1","REC",,"INST","091","Substantial","VMC","EPIC AVIATION INC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193688","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193688/pdf"
"ERA24LA093","ACC","193689","2024-01-19T18:13:00Z","Lakeport","Florida","United States",,"N5799","100-0277","false","Aviation","DirectorBrief","2024-04-30T04:00:00Z","2024-04-30T17:00:00Z","Serious","0","1","0","1",,"The improper recovery from a bounced landing, which resulted in a hard landing and subsequent noseover.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"27","-81","QUEST AIRCRAFT CO INC","KODIAK 100","AIR",,"PVT","false","1","TP",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193689","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193689/pdf"
"DCA24LA079","INC","193682","2024-01-18T23:34:00Z","Miami","Florida","United States",,"N859GT","62441","false","Aviation","DirectorBrief","2024-10-16T04:00:00Z","2024-10-16T18:00:00Z","None","0","0","0","0",,"Maintenance personnel’s improper installation and inspection of the port M borescope plug, which resulted in an engine fire.","Personnel issues - Task performance - Maintenance - Installation - Maintenance personnel, Personnel issues - Task performance - Inspection - Post maintenance inspection - Maintenance personnel",,"25.786095","-80.314837999999995","BOEING","747-87UF","AIR",,,"false","4","TF","NSCH",,"121","Minor","VMC","ATLAS AIR INC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193682","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193682/pdf"
"ERA24LA079","ACC","193587","2023-12-30T15:04:00Z","Daytona Beach","Florida","United States",,"N828AK, FA3XNWMRAN","1689, 163DF81001N020","false","Aviation","DirectorBrief","2024-01-25T05:00:00Z",,"None","0","0","0","0","0","The UAS operator’s failure to operate within the limitations of the COA that he was using to operate inside class C airspace, which resulted in a collision between the UAS and the helicopter.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot of other aircraft, Personnel issues - Experience/knowledge - Knowledge - Knowledge of procedures - Pilot of other aircraft",,"29.163164999999999","-81.078239999999994","ROBINSON HELICOPTER, DJI","R44, MAVIC 2","HELI, UNMANNED","DAB","DAYTONA BEACH INTERNATIONAL","false, false","1, 4","REC",,"OWRK, OWRK","091, 107","Substantial, Destroyed","VMC","Tunica Helicopters LLC","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193587/pdf"
"ERA24FA075","ACC","193575","2023-12-27T13:59:00Z","Miami","Florida","United States",,"N757TB","0166E","false","Aviation","DirectorBrief","2025-01-02T05:00:00Z","2025-01-02T18:00:00Z","Fatal","1","0","0","1",,"Main rotor contact with the tail boom for unknown reasons, resulting in the separation of the tail boom.","Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"25.650548000000001","-80.497849000000002","HUGHES HELICOPTERS INC","369E","HELI","TMB","MIAMI EXEC","false","1","TS",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193575","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193575/pdf"
"ERA24LA068","ACC","193542","2023-12-18T18:35:00Z","Pahokee","Florida","United States",,"N875SB","2720","false","Aviation","DirectorBrief","2024-03-21T04:00:00Z","2024-03-21T04:00:00Z","Minor","0","0","2","2","0","The flight instructor’s failure to maintain control of the airplane after encountering a wind gust during landing.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Instructor/check pilot, Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Response/compensation, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained",,"26.784113000000001","-80.693201000000002","CIRRUS DESIGN CORP","SR20","AIR","PHK","PALM BEACH COUNTY GLADES","false","1","REC",,"INST","091","Substantial","VMC","SkyBlue Aviation","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193542","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193542/pdf"
"ERA24LA070","ACC","193548","2023-12-18T14:40:00Z","Miami","Florida","United States",,"N52LV","MC-22","false","Aviation","DirectorBrief","2025-01-02T05:00:00Z","2025-01-02T18:00:00Z","None","0","0","0","0","0","A partial loss of engine power during initial climb for undetermined reasons, resulting in a forced landing.","Aircraft - Aircraft power plant - Engine (reciprocating) - (general) - Unknown/Not determined",,"25.647563999999999","-80.433224999999993","BEECH","A24","AIR","TMB","Miami Executive","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193548","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193548/pdf"
