NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,OnGroundInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude ,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,source_file
WPR26FA068,ACC,202203,2025-12-23T10:41:00Z,Summer Lake,Oregon,United States,,N9540R,D-6103,False,Aviation,,,,Fatal,1.0,0.0,0.0,1.0,,,,,42.851771,-120.9811,BEECH,K35,AIR,,,false,1,,,PERS,091,Substantial,VMC,,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202203/pdf,Oregon.csv
WPR26LA049,ACC,202039,2025-11-20T15:00:00Z,Shady Cove,Oregon,United States,,N43AH,7-8037,False,Aviation,DirectorBrief,2026-02-13T05:00:00Z,2026-02-12T18:00:00Z,Minor,0.0,0.0,1.0,1.0,0.0,"The pilot’s improper throttle input during an approach, which resulted in a rapid descent, hard landing and runway excursion.","Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Aircraft - Aircraft power plant - Engine controls - (general) - Incorrect use/operation",,42.608724,-122.82943,ZENAIR LTD,STOL CH 701,AIR,OG31,Shady Cove Airpark,true,1,REC,,FLTS,091,Substantial,VMC,,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=202039,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202039/pdf,Oregon.csv
WPR26LA018,ACC,201848,2025-10-09T15:30:00Z,Imnaha,Oregon,United States,,N249MD,18051501,False,Aviation,DirectorBrief,2026-01-09T05:00:00Z,2026-01-09T19:00:00Z,Minor,0.0,0.0,1.0,1.0,,"The pilot’s continued application of brakes during an aborted takeoff in a tailwind on down-sloping terrain, which resulted in a nose-over.","Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Pilot, Aircraft - Aircraft systems - Landing gear system - Brake - Incorrect use/operation, Environmental issues - Conditions/weather/phenomena - Wind - Tailwind - Contributed to outcome, Environmental issues - Physical environment - Terrain - Sloped/uneven terrain - Contributed to outcome",,45.667924,-116.6188,CESSNA,180,AIR,OR9,Lord Flat USFS Airport,false,1,REC,NSCH,PERS,091,Substantial,VMC,,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=201848,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201848/pdf,Oregon.csv
WPR25LA287,ACC,201042,2025-09-13T11:30:00Z,Cave Junction,Oregon,United States,,N139SB,FF00-2-00013,False,Aviation,DirectorBrief,2025-12-04T05:00:00Z,2025-12-04T18:00:00Z,Serious,0.0,1.0,0.0,1.0,,"The non-certificated pilot's improper landing flare in turbulent wind conditions, which resulted in a hard landing.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Effect on operation, Personnel issues - Experience/knowledge - Experience/qualifications - Qualification/certification - Pilot",,42.1036,-123.68241,BRISENO SAMUEL,KOLB FIREFLY,AIR,3S4,ILLINOIS VALLEY,true,1,REC,,PERS,091,Substantial,VMC,,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=201042,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201042/pdf,Oregon.csv
WPR25LA273,INC,200936,2025-09-02T13:45:00Z,Portland,Oregon,United States,,N820MS,626,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,45.588709,-122.59686,GULFSTREAM AEROSPACE,G-V,AIR,PDX,PORTLAND INTL,false,2,,,PERS,091,Minor,VMC,SPEEDERO LLC,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200936/pdf,Oregon.csv
WPR25LA263,ACC,200873,2025-08-23T14:45:00Z,Lakeview,Oregon,United States,,N185GG,18502787,False,Aviation,DirectorBrief,2025-09-26T04:00:00Z,2025-09-26T17:00:00Z,,0.0,0.0,0.0,0.0,,"The pilot’s failure to maintain directional control during the landing roll, in gusting crosswind conditions.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation",,42.15624,-120.40377,CESSNA,A185F,AIR,LKV,Lake County Airport,false,1,REC,,PERS,091,Substantial,VMC,,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=200873,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200873/pdf,Oregon.csv
WPR25LA296,ACC,201731,2025-08-18T18:05:00Z,Albany,Oregon,United States,,N20490,17261333,False,Aviation,DirectorBrief,2025-10-30T04:00:00Z,2025-11-04T18:00:00Z,,0.0,0.0,0.0,0.0,,The pilot’s improper landing flare and subsequent improper recovery from a bounced landing.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot",,44.64,-123.06,CESSNA,172M,AIR,S12,Albany Municipal Airport,false,1,REC,,PERS,091,Substantial,VMC,,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=201731,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201731/pdf,Oregon.csv
WPR25LA267,ACC,200891,2025-08-18T14:00:00Z,Albany,Oregon,United States,,N824DW,001,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,44.69044,-123.10748,DAVID ULLMAN,JABIRWATT,AIR,,,true,1,,,PERS,091,Substantial,VMC,,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200891/pdf,Oregon.csv
WPR25LA241,ACC,200717,2025-07-28T10:30:00Z,Inhama,Oregon,United States,,N91789,18259907,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,45.431933,-116.69142,CESSNA,182M,AIR,25U,MEMALOOSE USFS,false,1,,,PERS,091,Substantial,VMC,MYL High Flying Club,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200717/pdf,Oregon.csv
WPR25LA228,ACC,200656,2025-07-22T18:06:00Z,Astoria,Oregon,United States,,N3785Q,D-8413,False,Aviation,,,,,0.0,0.0,0.0,0.0,,,,,46.157909,-123.8239,BEECH,V35,AIR,AST,ASTORIA RGNL,false,1,,,PERS,091,Substantial,VMC,GO FLY MISSOULA LLC,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200656/pdf,Oregon.csv
